QUESTION,YES MESSAGE,NO MESSAGE,THIRD BUTTON NAME,THIRD BUTTON STAT,YES POINTS,NO POINTS,THIRD POINTS,
Your friend is making chicken and they are about to drink the raw chicken juice. Do you stay silent?,Your friend died of salmonella. Learn more about raw meat consumption and food safety challenges. Link: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10779077/,"You saved your friend's life, and educated them on proper food safety practices.",Stop them and tell everyone at school,Good job.,10,-10,-10,
"You want to buy some new clothes and jewelry, but you don't have a lot of money. Do you want to buy from Shein?",You got some new stuff for a great price! Someone in a factory is working on it. Learn more about them here: https://time.com/6247732/shein-climate-change-labor-fashion/,"You only support corporations that pay their workers fairly and provide them with proper working conditions, even if it means you have to pay more.",They have ethical hiring practices,Are you sure about that?,10,-10,-10,
There are reports of voter suppression tactics used in an upcoming election. Do you choose to still not vote?,"You stay home on election day, but see how that broad apathy enables anti-democratic practices. Link: https://www.aclu.org/news/civil-liberties/block-the-vote-voter-suppression-in-2020",You make your voice heard by exercising your right to vote.,Attack the capitol,Violence is not the answer,10,-10,-10,
There are credible reports that your nation's leaders are undermining democratic norms and consolidating power. Do you stay quiet?,It's easier to ignore it and go about your day. But see how unchecked authoritarianism destroys freedoms. Link: https://www.amnesty.org/en/what-we-do/democracy/,You exercise your rights to protest and speak out against anti-democratic actions.,Not my problem,It will be very soon,10,-10,-10,
A politician has been caught lying to the public about a major policy issue. Do you continue supporting them?,They're still your preferred candidate! But look at this analysis on the corrosive effects of normalized dishonesty. Link: https://ethics.harvard.edu/blog/new-ethics-truth,You hold your elected leaders to a higher standard of truthfulness and accountability.,They know the truth,Brainwashed,10,-10,-10,
Your government wants to implement a policy that would discriminate against a minority religious group. Do you remain apathetic?,You don't get involved with that controversial issue. But learn how such policies enabled past atrocities. https://www.ushmm.org/genocide-prevention/remotecauses/discrimination-against-groups,You call on your representatives to uphold equal rights and protections for all citizens.,I don't like them anyways,Equality for all,10,-10,-10,
Officials have been caught engaging in corruption and self-dealing with public funds. Do you chalk it up as normal?,"All politicians are crooked, so why bother caring? However, see how corruption decimates institutions. Link: https://www.transparency.org/en/what-is-corruption",You demand accountability and consequences for the unethical abuse of taxpayer money.,Not my problem,It will be very soon,10,-10,-10,
Your local law enforcement has faced scrutiny for using excessive force. Do you give them unwavering support anyway?,You back the blue no matter what. But consider the human rights issues around police brutality. Link: https://www.amnesty.org/en/what-we-do/police-brutality/,You call for much-needed reforms to address the legitimate grievances against police misconduct.,Who else is gonna protect us?,Wait till they do it to you,10,-10,-10,
There are reports of inhumane conditions at your nation's immigration detention centers. Do you choose to ignore it?,You tune out those uncomfortable realities. But see how dehumanizing policies enable human rights abuses. Link: https://www.amnesty.org/en/what-we-do/refugees-asylum-seekers/,"You call for reforms to uphold the basic dignity and fair treatment of all people, including immigrants.",They deserve it,All people deserve to be treated with respect,10,-10,-10,
Your government wants to roll back environmental regulations to prioritize business interests over conservation. Do you stay silent?,"Environmental issues aren't a huge concern for you. However, see the escalating costs of unchecked climate change. Link: https://www.un.org/en/un75/climate-crisis-race-we-can-win",You voice your opposition to policies that put corporate profits before protecting the planet.,It's out of my control,Will be out of control for future generations too,10,-10,-10,
Major media outlets have been accused of spreading disinformation and partisan propaganda. Do you keep consuming their content?,You don't fact-check or question the narratives. But learn how misinformation erodes trust and democratic discourse. Link: https://www.cfr.org/backgrounder/misinformation-age-covid-19-and-how-combat-it,"You rely only on credible, nonpartisan sources for news to be a well-informed citizen.",They are all lying,Who's job is it to keep you informed?,10,-10,-10,
Your nation's electoral system has been identified as being vulnerable to tampering by hostile foreign entities. Do you dismiss it as a non-issue?,You don't see electoral integrity as a big deal. But review how defending against foreign interference is crucial. Link: https://www.brennancenter.org/issues/defend-democracy-against-foreign-interference,You demand authorities take concrete actions to safeguard your nation's electoral process.,I can't stop it,It will get worse,10,-10,-10,
There are allegations that prisoners in your nation's jails are being subjected to torture and inhumane treatment. Do you ignore it?,You turn a blind eye to what happens behind bars. But see why torture can never be justified. Link: https://www.amnesty.org/en/what-we-do/torture/,You demand authorities uphold the rights and dignity of all incarcerated people.,They deserve it,All people deserve to be treated with respect,10,-10,-10,
Reports show your government is increasing surveillance and monitoring of citizens' online activities. Do you say nothing?,"You don't worry about digital privacy issues. However, learn why unchecked surveillance endangers civil liberties. Link: https://www.eff.org/issues/mass-surveillance",You voice concerns over potential abuses of overreaching cyber-surveillance powers.,I have nothing to hide,You couldn't hide anything even if you wanted to,10,-10,-10,
"Investigative journalists have exposed corruption scandals implicating top government officials. Do you dismiss it as ""fake news""?",You disregard revelations of unethical conduct by those in power. But see why a free press is vital. Link: https://cpj.org/reports/2022/12/addressing-global-decline-press-freedom-anti-media-attacks/,You take the accountability reports seriously and insist on transparency.,It's just drama,Drama that affects your rights and liberties,10,-10,-10,
"Your government wants to crack down on protest rights in the name of ""public safety."" Do you surrender those freedoms?",Public demonstrations aren't a big deal to you. But review why protesting is a protected human right. Link: https://www.amnesty.org/en/what-we-do/freedom-of-peaceful-assembly/,You push back against any attempts to quash the people's right to protest injustice.,Their protests are stupid,Wait till you have to protest for something,10,-10,-10,
There are disputes over your nation's territorial boundaries and some leaders want to pursue annexation by force. Do you cheer it on?,"You blindly follow the nationalist rallying cries. However, study why unprovoked territorial conquest is a violation. Link: https://www.un.org/en/about-us/un-charter/chapter-1",You advocate diplomacy and respecting national sovereignty over needless military aggression.,Take it all,Inciting violence without proper justification?,10,-10,-10,
Powerful corporate monopolies have bought influence and gotten laws crafted to entrench their market dominance. Do you say it's not your problem?,You don't care about consolidations of economic power. But see why promoting fair competition is essential. Link: https://www.ftc.gov/tips-advice/competition-guidance/guide-antitrust-laws,You support efforts to rein in undue corporate monopolistic practices.,It's how the world works,"When the prices rice, you will be affected",10,-10,-10,
Your government has been accused of covering up human rights atrocities and war crimes committed by its military forces. Do you turn a blind eye? ,You don't concern yourself with battlefield conduct. But review what the Geneva Conventions say about the rules of war. Link: https://www.icrc.org/en/document/geneva-conventions-1949-additional-protocols,You demand full investigations and accountability for any credible allegations of war crimes.,War is never pretty,Your tax dollars are funding human rights violations,10,-10,-10,
There are alarming reports about rapidly shrinking civil rights and democratic backsliding in your country. Do you stay complacent?,"You convince yourself it's not as dire as critics claim. However, learn about the warning signs of democratic erosion. Link: https://freedomhouse.org/report/special-report/2022/repression-has-become-global-norm",You rally to defend democratic institutions and resist authoritarian overreach.,My rights are not affected,They will be,10,-10,-10,
"Your government wants to outlaw publications, media and speech that is critical of the ruling party's policies. Do you accept those censorship measures?","You don't mind increased censorship in the name of ""unity."" But see why free speech is a bedrock democratic principle. Link: https://www.ohchr.org/en/issues/freedomopinion/pages/standardsources.aspx",You oppose any attempts to suppress freedom of expression and a free press.,They should be censored,Free speech for all,10,-10,-10,
There are egregious and persistent pay gaps and workplace inequalities faced by women and minorities in your society. Do you claim it's not your concern?,You choose to ignore long-standing unfair treatments. But study why workplace equity is an ethical imperative. Link: https://www.ilo.org/global/topics/equality-and-discrimination/lang--en/index.htm,You advocate for policies and practices to ensure equal opportunities and just treatment.,They are paid the same,Why would they lie,10,-10,-10,
